#️⃣	# かこみすうじ しゃーぷ しゃーぷだいやる
🛳️	きゃくせん のりもの ふね りょかくせん
🛴	きっくすくーたー きっくすけーたー きっくぼーど
🛵	げんつき すくーたー
🛶	かぬー かやっく のりもの ふね ぼーと
🛷	すけるとん すぽーつ そり そりきょうぎ ぼぶすれー りゅーじゅ
🛸	ufo うちゅう そらとぶえんばん のりもの ゆーふぉー
🛹	すけぼー すけーとぼーど ぼーど
🛺	おーとりくしゃー さんりんたくしー たくしー とぅくとぅく りくしゃー
🛻	くるま けいとらっく とらっく のりもの はいたつ ぴっくあっぷとらっく
🛼	すけーと すぽーつ ろーらーすけーと
🟠	おれんじ おれんじのまる まる まるいぼたん
🟡	きいろ きいろいまる まる まるいぼたん
🟢	まる まるいぼたん みどり みどりのまる
🟣	まる まるいぼたん むらさき むらさきのまる
🟤	ちゃいろ ちゃいろのまる まる まるいぼたん
🟥	あか あかいしかく しかく せいほうけい
🟦	あお あおいしかく しかく せいほうけい
🟧	おれんじ おれんじのしかく しかく せいほうけい
🟨	きいろ きいろいしかく しかく せいほうけい
🟩	しかく せいほうけい みどり みどりのしかく
🟪	しかく せいほうけい むらさき むらさきのしかく
🟫	しかく せいほうけい ちゃいろ ちゃいろいしかく
🟰	いこーる すうがく とうごう ひとしい ふとじのとうごう
🤌	うわむきにすぼめたて じぇすちゃー すぼめる て ゆび
🤍	しろいはーと はーと
🤎	ちゃいろいはーと はーと
🤏	すこしだけ ちょっと つまんでいるゆび て ゆび
🤐	かお くち くちちゃっく ちゃっく
🤑	おかねのかお かお した べろ べー
🤒	かお かぜ たいおんけい ねつがあるかお ねつをはかる びょうき
🤓	おたく かお まにあ めがね
🤔	うーん かお かんがえちゅう かんがえる かんがえるかお
🤕	かお けが けがしてるかお ほうたい ほうたいをまいたかお
🤖	かお ろぼっと
🤗	えがお かお すまいる はぐ
🤘	きつね つののゆびさいん て
🤙	て でんわ でんわのあいず でんわのじぇすちゃー
🤚	て てのこう
🤛	こぶし て ぱんち ひだり ひだりむきのこぶし
🤜	こぶし て ぱんち みぎ みぎむきのこぶし
🤝	あくしゅ ごうい て よろしく
🤞	て ゆび ゆびをくろす
🤟	あいしてる あいらぶゆー て
🤠	かうがーる かうぼーい かうぼーいのかお かお
🤡	かお ぴえろ ぴえろのかお
🤢	かお きもちわるい ぐあいのわるいかお はきけをもよおしているかお びょうき
🤣	えがお かお すまいる わらいころげる わらう
🤤	かお よだれ よだれをたらしたかお
🤥	うそつき うそつきのかお かお ぴのきおのかお
🤦	あちゃー じぇすちゃー ひたいにて ひたいにてをあてるひと
🤦‍♀️	あちゃー おんな じぇすちゃー じょせい ひたいにて ひたいにてをあてるおんな
🤦‍♂️	あちゃー おとこ じぇすちゃー だんせい ひたいにて ひたいにてをあてるおとこ
🤧	かお かぜ かふんしょう くしゃみ くしゃみするかお
🤨	うたがい おどろき かお まゆをあげたかお
🤩	えがお かお すまいる ほし めがほしのえがお
🤪	おかしい かお じょーく ふざけ ふざけたかお
🤫	かお しずかに しっ しー しーっ
🤬	いかり かお ののしり ののしる
🤭	えがお かお くすくす くちにてをあてたかお すまいる ないしょ
🤮	おうとするかお かお きもちわるい げろ びょうき
🤯	あたまばくはつ おどろき かお しょっく ばくはつ ぼんっ
🤰	おんな じょせい にんしん にんぷ
🤱	あかちゃん おんな じゅにゅう じょせい みるく
🤲	いのり て てのひらをそろえたりょうて りょうて
🤳	じどり じぶんどり すまほ せるふぃー
🤴	おうじ おとこ だんせい ぷりんす
🤵	けっこん たきしーど たきしーどのひと はなむこ
🤵‍♀️	おんな じょせい たきしーど たきしーどのおんな たきしーどのじょせい
🤵‍♂️	おとこ たきしーど たきしーどのおとこ たきしーどのだんせい だんせい
🤶	おんな くりすます さんたくろーす じょせい じょせいのさんた
🤷	おてあげ おてあげするひと じぇすちゃー
🤷‍♀️	おてあげ おてあげするおんな おんな じぇすちゃー じょせい
🤷‍♂️	おてあげ おてあげするおとこ おとこ じぇすちゃー だんせい
🤸	すぽーつ そくてん そくてんするひと たいそう
🤸‍♀️	おんな じょせい すぽーつ そくてん そくてんするおんな たいそう
🤸‍♂️	おとこ すぽーつ そくてん そくてんするおとこ たいそう だんせい
🤹	じゃぐらー じゃぐりんぐ じゃぐりんぐをするひと だいどうげい
🤹‍♀️	おんな じゃぐらー じゃぐりんぐ じゃぐりんぐをするおんな じょせい だいどうげい
🤹‍♂️	おとこ じゃぐらー じゃぐりんぐ じゃぐりんぐをするおとこ だいどうげい だんせい
🤺	すぽーつ ふぇんしんぐ ふぇんしんぐをするひと
🤼	すぽーつ れすらー れすりんぐ れすりんぐするひと れすりんぐをするひと
🤼‍♀️	おんな じょせい すぽーつ れすりんぐ れすりんぐするおんな れすりんぐをするおんな
🤼‍♂️	おとこ すぽーつ だんせい れすりんぐ れすりんぐするおとこ れすりんぐをするおとこ
🤽	きゅうぎ すいきゅう すいきゅうをするひと すぽーつ
🤽‍♀️	おんな きゅうぎ じょせい すいきゅう すいきゅうをするおんな すぽーつ
🤽‍♂️	おとこ きゅうぎ すいきゅう すいきゅうをするおとこ すぽーつ だんせい
🤾	きゅうぎ すぽーつ はんどぼーる はんどぼーるをするひと
🤾‍♀️	おんな きゅうぎ じょせい すぽーつ はんどぼーる はんどぼーるをするおんな
🤾‍♂️	おとこ きゅうぎ すぽーつ だんせい はんどぼーる はんどぼーるをするおとこ
🤿	しゅのーけりんぐ すきゅーば すぽーつ だいびんぐますく ますく
🥀	しおれた しおれたはな はな
🥁	おんがく がっき たいこ どらむ
🥂	かんぱい ぐらすでかんぱい しゃんぱん しゃんぺん すぱーくりんぐわいん すぷまんて
🥃	うぃすきー ういすきー ぐらす たんぶらー たんぶらーぐらす
🥄	かとらりー しょっき すぷーん
🥅	ごーる ごーるねっと すぽーつ ねっと
🥇	1い きん きんめだる ごーるど めだる
🥈	2い ぎん ぎんめだる しるばー めだる
🥉	3い どう どうめだる ぶろんず めだる
🥊	ぐろーぶ すぽーつ ぼくしんぐ ぼくしんぐぐろーぶ
🥋	からて じゅうどう すぽーつ てこんどー どうぎ ぶどう
🥌	かーりんぐ すとーん すぽーつ
🥍	ごーる すてぃっく すぽーつ ぼーる らくろす
🥎	すぽーつ そふとぼーる へたなげ ぼーる
🥏	あるてぃめっと ふらいんぐでぃすく ふりすびー
🥐	くろわっさん ぱん ふらんす べーかりー
🥑	あぼかど くだもの やさい
🥒	きゅうり つけもの ぴくるす やさい
🥓	にく べーこん
🥔	いも じゃがいも ぽてと やさい
🥕	にんじん やさい
🥖	ばげっと ぱん ふらんすぱん べーかりー
🥗	ぐりーん ぐりーんさらだ さらだ
🥘	しーふーど ぱえりあ
🥙	けばぶ けばぶさんど らっぷさんど
🥚	たまご
🥛	ぎゅうにゅう ぎゅうにゅういりのこっぷ こっぷ みるく
🥜	なっつ ぴーなっつ やさい らっかせい
🥝	きうい きういふるーつ くだもの
🥞	ぱんけーき ほっとけーき
🥟	ぎょうざ てんしん にくまん
🥠	おみくじ ふぉーちゅんくっきー
🥡	ちゅうか ていくあうとべんとう べんとう もちかえり
🥢	おはし はし
🥣	おかゆ しりある ちょうしょく ぼうるとすぷーん
🥤	こっぷ じゅーす すとろーかっぷ
🥥	くだもの ここなっつ ここなつ やしのみ
🥦	ぶろっこりー やさい
🥧	おかし たると ぱい
🥨	ねじり ぱん ぷれっつぇる
🥩	すてーき すてーきにく にく びーふ ぽーく らむ
🥪	さんどいっち ぱん
🥫	かん かんづめ ひじょうしょく
🥬	きゃべつ けーる ちんげんさい はやさい れたす
🥭	くだもの とろぴかる まんごー
🥮	あき おいわい げっぺい ちゅうかかし ちゅうしゅうせつ
🥯	くりーむちーず ぱんや べーかりー べーぐる
🥰	えがお かお はーとのえがお むちゅう めろめろ らぶ
🥱	あくびしたかお かお たいくつ つかれ ねむい ふあー
🥲	うれしなみだのかお かお かんどう じーん なく なみだ
🥳	おいわい ぱーてぃー ぱーてぃーのかお ふえ ぼうし
🥴	うつろなめ ちゅうどく ふらふらのかお べろんべろん ほろよい めまい
🥵	あかいかお あせ あついかお あつさ ねっちゅうしょう はつねつ
🥶	あおいかお こごえ さむいかお さむさ しもやけ つらら
🥷	おんみつ くさのもの しのび すぱい にんじゃ にんじゅつ
🥸	かお かそう ひげ へんそう へんそうしたかお めがね
🥹	うるうる かお こんがん なきがお なみだ なみだをこらえたかお
🥺	うったえるようなかお かお こいぬのめ こんがん なさけ ぴえん
🥻	さりー ふく みんぞくいしょう
🥼	いしゃ かがくしゃ じっけん はくい
🥽	ごーぐる すいえい ほごめがね ようせつ
🥾	きゃんぷ とざんぐつ はいきんぐ はいきんぐしゅーず ばっくぱっく ぶーつ
🥿	すりっぽん ばれえしゅーず ふらっとしゅーず ぺたんこくつ
🦀	かに せいざ どうぶつ
🦁	かお どうぶつ らいおん らいおんのかお
🦂	さそり せいざ むし
🦃	しちめんちょう たーきー とり どうぶつ
🦄	いっかくじゅう かお どうぶつ ゆにこーん ゆにこーんのかお
🦅	とり どうぶつ わし
🦆	かも とり どうぶつ
🦇	きゅうけつき こうもり どうぶつ ばんぱいあ
🦈	さかな さめ どうぶつ
🦉	とり どうぶつ ふくろう
🦊	かお きつね きつねのかお どうぶつ
🦋	ちょう むし
🦌	かお しか どうぶつ
🦍	かお ごりら どうぶつ
🦎	とかげ どうぶつ はちゅうるい
🦏	かお さい どうぶつ
🦐	えび しゅりんぷ しーふーど どうぶつ
🦑	いか しーふーど どうぶつ
🦒	きりん どうぶつ
🦓	しまうま しましま どうぶつ
🦔	とげ どうぶつ はりねずみ
🦕	きょうりゅう そうしょくきょうりゅう でぃぷろどくす ぶらきおさうるす りゅうきゃくるい
🦖	きょうりゅう てぃらのさうるす
🦗	こおろぎ ばった むし
🦘	おーすとらりあ かんがるー じゃんぷ じょーい ゆうたいるい
🦙	あるぱか ぐあなこ どうぶつ びくーな ようもう らま
🦚	くじゃく とり はで ぴーこっく
🦛	かば どうぶつ
🦜	おうむ かいぞく しゃべる とり
🦝	あらいぐま こうきしん ずるがしこい せんさくずき どうぶつ
🦞	ざりがに しーふーど はさみ びすく ろぶすたー
🦟	ういるす か ねつ びょうき まらりあ むし
🦠	あめーば ういるす さいきん ばくてりあ びせいぶつ
🦡	あなぐま どうぶつ みつあなぐま
🦢	とり はくちょう ひな みにくいあひるのこ
🦣	きば きょだい ぜつめつ どうぶつ まんもす
🦤	ぜつめつ とべないとり とり どーどー もーりしゃすとう
🦥	どうぶつ なまけもの のんびり ものぐさ
🦦	あそびすき かわうそ さかなをたべる どうぶつ らっこ
🦧	おらんうーたん さる どうぶつ もりのひと
🦨	あくしゅう すかんく どうぶつ
🦩	とり どうぶつ ねったい ぴんくいろ ふらみんご
🦪	おいすたー かい かき ぎょかい しーふーど なまがき
🦫	だむづくり どうぶつ びーばー
🦬	うし どうぶつ ばいそん ばっふぁろー むれ やぎゅう
🦭	あざらし あしか かいじゅう とど どうぶつ
🦮	あくせしびりてぃ いぬ しかく しょうがい ほじょ ほじょけん もうどうけん
🦯	あくせしびりてぃ しかく しょうがい つえ はくじょう
🦰	あかげ あかげのひと あかちゃ
🦱	あふろ かーる くせげ ぱんちぱーま まきげ
🦲	かがくりょうほう けがない すきんへっど はげあたま ぼうず
🦳	ぐれー こうれいしゃ しらが ねんぱい ろうじん
🦴	こっかく ほね
🦵	あし きっく
🦶	あし きっく だんす ふみつける
🦷	は はいしゃ
🦸	すーぱーひーろー ぜん ちょうじん ひろいん ひーろー
🦸‍♀️	じょせい じょせいのすーぱーひーろー ぜん ちょうじん ひろいん ひーろー
🦸‍♂️	ぜん だんせい だんせいのすーぱーひーろー ちょうじん ひーろー
🦹	あく あくやく ちょうじん はんにん ゔぃらん
🦹‍♀️	あく じょせい じょせいのあくやく ちょうじん はんにん ゔぃらん
🦹‍♂️	あく だんせい だんせいのあくやく ちょうじん はんにん ゔぃらん
🦺	あんぜんべすと きんきゅう こうじ ちょっき はんしゃ べすと
🦻	あくせしびりてぃ ちょうかく ほちょうきをつけたみみ みみ
🦼	あくせしびりてぃ いす くるまいす でんどうくるまいす
🦽	あくせしびりてぃ いす くるまいす しゅどうしきくるまいす
🦾	あくせしびりてぃ うで ぎしゅ じんこうそうぐ て
🦿	あくせしびりてぃ あし ぎそく じんこうそうぐ
🧀	ちーず
🧁	おかし かっぷけーき けーき すいーつ べーかりー
🧂	しお ちょうみりょう ふりかけようき やくみ
🧃	かみぱっくいんりょう じゅーす どりんく のみもの
🧄	かおり におい にんにく やくみ やさい
🧅	たまねぎ ねぎ やくみ やさい
🧆	ころっけ にくだんご ひよこまめ ふぁらふぇる
🧇	ふんわり やきがし わっふる
🧈	にゅうせいひん ばたー
🧉	おちゃ どりんく のみもの まてちゃ
🧊	かくごおり こおり つめたい
🧋	おちゃ たぴおか たぴおかどりんく どりんく ばぶるてぃー みるくてぃー
🧌	おとぎばなし とろーる ふぁんたじー もんすたー
🧍	きりつ たっている たつひと ひと
🧍‍♀️	きりつ じょせい たつおんな
🧍‍♂️	きりつ たつおとこ だんせい
🧎	すわる せいざするひと ひざまずく ひと
🧎‍♀️	じょせい すわる せいざするじょせい ひざまずく
🧎‍♀️‍➡️	じょせい すわる せいざするじょせい ひざまずく
🧎‍♂️	すわる せいざするだんせい だんせい ひざまずく
🧎‍♂️‍➡️	すわる せいざするだんせい だんせい ひざまずく
🧎‍➡️	すわる せいざするひと ひざまずく ひと
🧏	あくせしびりてぃ きこえない しょうがい ちょうかく ひと みみのふじゆうなひと
🧏‍♀️	あくせしびりてぃ しょうがい じょせい ちょうかく みみのふじゆうなじょせい
🧏‍♂️	あくせしびりてぃ しょうがい だんせい ちょうかく みみのふじゆうなだんせい
🧐	かお かためがね かんがえる めがね ものくるをつけたかお
🧑	おとな かお せいじん
🧑‍⚕️	いし いしゃ せらぴすと
🧑‍⚖️	さいばん さいばんかん
🧑‍✈️	きちょう そうじゅうし ぱいろっと
🧑‍🌾	がーでなー のうか のうぎょう のうじょうぬし
🧑‍🍳	こっく しぇふ りょうり
🧑‍🍼	あかちゃん じゅにゅう じゅにゅうするひと ひと
🧑‍🎄	くりすます さんたくろーす さんたさん
🧑‍🎓	かくぼう がくせい そつぎょう
🧑‍🎤	あーてぃすと かしゅ しんがー すたー ろっかー
🧑‍🎨	あーてぃすと えかき がか げいじゅつか
🧑‍🏫	きょうし きょうじゅ こうし せんせい たんにん
🧑‍🏭	こういん こうじょう ものづくり ようせつこう
🧑‍💻	かいはつしゃ ぎじゅつしゃ こんぴゅーた ぱそこん ぷろぐらま
🧑‍💼	かいしゃいん さらりーまん びじねすぱーそん
🧑‍🔧	こうさく さぎょういん すぱな せいびし めかにっく
🧑‍🔬	かがくしゃ せいぶつがくしゃ ぶつりがくしゃ
🧑‍🚀	うちゅうひこうし ろけっと
🧑‍🚒	きゅうじょたい しょうぼうし れすきゅー
🧑‍🤝‍🧑	かっぷる こいびと つなぐ て てをつなぐ てをつなぐ2にん てをつなぐふたり ともだち ひと
🧑‍🦯	あくせしびりてぃ しかく しょうがい つえをついたひと め
🧑‍🦯‍➡️	あくせしびりてぃ しかく しょうがい つえをついたひと め
🧑‍🦰	あかげ おとな かお せいじん
🧑‍🦱	おとな かお せいじん まきげ
🧑‍🦲	おとな かお せいじん はげあたま
🧑‍🦳	おとな かお しらが せいじん
🧑‍🦼	あくせしびりてぃ くるまいす しょうがい でんどうくるまいすのひと
🧑‍🦼‍➡️	あくせしびりてぃ くるまいす しょうがい でんどうくるまいすのひと
🧑‍🦽	あくせしびりてぃ くるまいす しゅどうしきくるまいすのひと しょうがい
🧑‍🦽‍➡️	あくせしびりてぃ くるまいす しゅどうしきくるまいすのひと しょうがい
🧑‍🧑‍🧒	おとなふたり おとなふたりとこどもひとりのかぞく おやこ かぞく こどもひとり
🧑‍🧑‍🧒‍🧒	おとなふたり おとなふたりとこどもふたりのかぞく おやこ かぞく こどもふたり
🧑‍🧒	おとなひとり おとなひとりとこどもひとりのかぞく おやこ かぞく こどもひとり
🧑‍🧒‍🧒	おとなひとり おとなひとりとこどもふたりのかぞく おやこ かぞく こどもふたり
🧒	かお こども
🧓	おとしより かお こうれいしゃ ろうじん
🧔	あごひげ あごひげのだんせい あごひげのひと かお ひげ ひと
🧔‍♀️	あごひげ あごひげのじょせい おんな かお ひげ
🧔‍♂️	あごひげ あごひげのだんせい おとこ かお ひげ
🧕	おんな じょせい すかーふ すかーふのじょせい ひじゃぶ べーる
🧖	さうな さうなにはいるひと
🧖‍♀️	おんな さうな さうなにはいるおんな じょせい
🧖‍♂️	おとこ さうな さうなにはいるおとこ だんせい
🧗	とざん やまのぼり やまをのぼるひと
🧗‍♀️	おんな じょせい とざん やまのぼり やまをのぼるおんな
🧗‍♂️	おとこ だんせい とざん やまのぼり やまをのぼるおとこ
🧘	めいそう よが よがのぽーずをするひと
🧘‍♀️	おんな じょせい めいそう よが よがのぽーずをするおんな
🧘‍♂️	おとこ だんせい めいそう よが よがのぽーずをするおとこ
🧙	まじょ まほう まほうつかい
🧙‍♀️	おんな おんなのまほうつかい じょせい まじょ まほうつかい
🧙‍♂️	おとこ おとこのまほうつかい だんせい まほうつかい
🧚	おべろん でんせつ ぱっく まほう ようせい
🧚‍♀️	おんな おんなのようせい じょせい ようせい
🧚‍♂️	おとこ おとこのようせい だんせい ようせい
🧛	きゅうけつき どらきゅら ばんぱいあ
🧛‍♀️	おんな おんなのきゅうけつき きゅうけつき じょせい どらきゅら ばんぱいあ
🧛‍♂️	おとこ おとこのきゅうけつき きゅうけつき だんせい どらきゅら ばんぱいあ
🧜	にんぎょ まーまん まーめいど
🧜‍♀️	おんな じょせい にんぎょ まーめいど
🧜‍♂️	おとこ だんせい にんぎょ まーまん
🧝	えるふ こようせい ようせい
🧝‍♀️	えるふ おんな おんなのえるふ じょせい
🧝‍♂️	えるふ おとこ おとこのえるふ だんせい
🧞	せいれい まじん
🧞‍♀️	おんな おんなのせいれい じょせい せいれい まじん
🧞‍♂️	おとこ おとこのせいれい せいれい だんせい まじん
🧟	ぞんび ほらー
🧟‍♀️	おんな おんなのぞんび じょせい ぞんび ほらー
🧟‍♂️	おとこ おとこのぞんび ぞんび だんせい ほらー
🧠	あたま ちしき のう のうみそ
🧡	おれんじのはーと はーと
🧢	きゃっぷ ぼうし やきゅうぼう
🧣	えりまき くびまき すかーふ まふらー
🧤	てぶくろ
🧥	あうたー おーばー こーと じゃけっと ふく
🧦	くつした そっくす
🧧	あかいふうとう おかね おとしだま こううん ごしゅうぎ ほんぱお
🧨	かやく だいなまいと ばくちく ばくはつ ばくやく
🧩	かぎ くみあわせ じぐそーぱずる ぱずる ぴーす
🧪	かがく しけんかん じっけん らぼ
🧫	せいぶつがく ばいよう ばくてりあ ぺとりさら
🧬	dna いでんし しんか せいぶつがく
🧭	おりえんてーりんぐ こうかい こうくう こんぱす じしゃく
🧮	あばかす そろばん
🧯	しょうか しょうかき しょうかきぐ しょうぼう
🧰	きかいこう こうぐばこ せいびし つーるぼっくす めかにっく
🧱	かべ しっくい ねんど もるたる れんが
🧲	ていてつ まぐねっと ゆーじがたじしゃく
🧳	すーつけーす ぱっきんぐ りょこう りょこうかばん
🧴	けしょうすい しゃんぷー ひやけどめ ろーしょん
🧵	いと いとまき さいほう ぬいばり ひも
🧶	あみもの かぎばり けいと けいとだま にっと
🧷	あんぜんぴん とめぴん
🧸	おもちゃ がんぐ くま てでぃべあ ぬいぐるみ
🧹	そうじ はく ほうき まじょ
🧺	かご しゅうかく せんたく ぴくにっく
🧻	きっちんぺーぱー といれっとぺーぱー ぺーぱーたおる
🧼	せっけん そーぷ ふろ
🧽	かいめん きゅうしゅう すぽんじ そうじ
🧾	かいけい ぼき りょうしゅうしょ れしーと
🧿	おまもり じゃし なざーる なざーるぼんじゅう びーず まよけ
🩰	くつ しゅーず だんす とうしゅーず ばれえ
🩱	すいむうぇあ みずぎ わんぴーすのみずぎ
🩲	したぎ すいむうぇあ ぱんつ ぶりーふ みずぎ
🩳	したぎ しょーつ すいむうぇあ ぱんつ みずぎ
🩴	くつ ごむぞうり さんだる とんぐさんだる びーさん びーちさんだる
🩵	うすいあお うすいあおのはーと しあん てぃーるぶるー はーと
🩶	ぎんいろ すれーとぐれー はいいろ はいいろのはーと はーと
🩷	かわいい すき はーと ぴんく ぴんくのはーと らぶ
🩸	いしゃ けが けつえき けんけつ せいり
🩹	きず くすり けが てあて ばんそうこう
🩺	いしゃ しんぞう ちょうしんき びょうき
🩻	いしゃ えっくすせん こっかく ほね れんとげん
🩼	けが しょうがい すてっき つえ ほこうほじょ まつばづえ
🪀	おもちゃ かいてん がんぐ よーよー
🪁	おもちゃ かいと がんぐ たこ たこあげ
🪂	すかいだいびんぐ ぱらぐらいだー ぱらしゅーと
🪃	おもちゃ おーすとらりあ かえってくる がんぐ はねかえり ぶき ぶーめらん
🪄	つえ まじゅつ まほうのつえ
🪅	おいわい たんじょうび にんぎょう ぱーてぃー ぴにゃーた
🪆	いれこ にんぎょう まとりょーしか ろしあ
🪇	おんがく がっき しぇいかー まらかす りずむ
🪈	おんがく がっき すいそうがく ふえ ふるーと りこーだー
🪐	てんたい どせい ほし りんぐ わくせい わのあるわくせい
🪑	いす かぐ こしかけ しーと ちぇあ
🪒	かみそり は ひげそり れーざー
🪓	おの き こうぐ はちぇっと まきわり
🪔	あかり おいる でぃやらんぷ らんぷ
🪕	おんがく がっき ばんじょー
🪖	ぐんたい ぐんようへるめっと せんとう へいし へるめっと みりたりー
🪗	あこーでぃおん おんがく がっき じゃばら
🪘	おんがく がっき こんが たいこ びーと りずむ
🪙	おかね きんか ぎんか こいん こうか こぜに
🪚	こうぐ だいく のこ のこぎり は もっこう
🪛	こうぐ すくりゅーどらいばー どらいばー ねじまわし
🪜	こうしょさぎょう すてっぱー のぼる はしご
🪝	かけがね かけきん とめがね ひっかけ ふっく
🪞	かがみ すがたみ はんしゃ みだしなみ みらー
🪟	あける かんき ながめ ふれーむ まど
🪠	きゅういんかっぷ すっぽん つうすいかっぷ といれ ぷらんじゃー らばーかっぷ
🪡	さいほう ししゅう すてっち ぬいばり ぬう はり
🪢	つな ねじれ のっと ひも むすびめ ろーぷ
🪣	おけ ばけつ ぽりばけつ ようき
🪤	おびきよせる しかけ ねずみとり ばね まうすとらっぷ わな
🪥	えいせい おていれ せんめんじょ はぶらし はみがき むしば
🪦	おはか せきひ はかば ぼせき ぼち まいそう
🪧	いぎ かんばん こうぎ しゅちょう でも ぷらかーど
🪨	おもたい かたい がんせき きょがん せきざい
🪩	きらきら だんす でぃすこ ぱーてぃー みらーぼーる
🪪	id うんてんめんきょしょう せきゅりてぃ みぶんしょう みぶんしょうめいしょ
🪫	じゅうでんぶそく でんちざんりょうていか ばってりー ばってりーざんりょうていか
🪬	おまもり ごふ て はむさ ふぁーてぃま みりあむ め
🪭	あおぐ うちわ おうぎ かぜ せんす なつ
🪮	あふろ あふろこーむ かみ くし こーむ
🪯	かんだ けん しくきょう しゅうきょう しーくきょう
🪰	がいちゅう はえ びょうげんきん ふけつ むし
🪱	きせいちゅう みみず むし
🪲	かぶとむし こんちゅう つの むし
🪳	がいちゅう ごきぶり むし
🪴	うえきばち しょくぶつ なえ はちうえ べらんだ みずやり みどり
🪵	ざいもく じゅもく まるた もくざい ろぐ
🪶	うもう かるい とぶ とり はね
🪷	せいじょう はすのはな はな ひんどぅーきょう ぶっきょう
🪸	うみ さんご さんごしょう
🪹	えいそう からっぽのす す すづくり
🪺	えいそう す すづくり とりのたまごとす
🪻	あおむらさき はな ひやしんす らべんだー
🪼	うみ くらげ さす しょくしゅ どく はり むせきついどうぶつ
🪽	あき しんわ つばさ てんし とぶ とり
🪿	あひる がちょう がーがー とり まぬけ
🫀	こどう しんぞう しんぱく ぞうき みゃく
🫁	こきゅう ぞうき はい
🫂	あいさつ ありがとう おわかれ こんにちは さようなら はぐするひと
🫃	おとこ だんせい にんしん にんぷ
🫄	おなか にんしん にんしんしたひと にんぷ
🫅	おうかんをかぶったひと おうけ おうさま おうぞく くんしゅ
🫎	えだつの しか どうぶつ へらじか ほにゅうるい
🫏	うま どうぶつ ほにゅうるい らば ろば
🫐	くだもの びるべりー ぶるーべりー べりー
🫑	あかぴーまん とうがらし ぱぷりか ぴーまん やさい
🫒	おりーぶ かじつ じつ み
🫓	あれぱ なん ぱん ぴたぱん ふらっとぶれっど らばし
🫔	たまる たまれす ちまき めきしかん
🫕	すいす ちょこ ちーず とかす なべ ふぉんでゅ
🫖	おちゃ きゅうす ちゃき てぃーぽっと のみもの
🫗	えきたい がらす こっぷからそそぐ こぼす のみもの
🫘	あずき きんときまめ まめ れっどきどにー
🫙	あき ちょうみりょう びん ほぞん ようき
🫚	しょうが じんじゃー すぱいす やくみ
🫛	えだまめ えんどうまめ ぐりーんぴーす さや まめ やさい
🫠	えきたい かお とけそう とけているかお とける とろける
🫡	おーけー かお ぐんたい けいれい けいれいするかお りょうかい
🫢	おそれ おどろき おののき かお びっくり めをあけてくちにてをあてたかお
🫣	かお こわごわ ぬすみみ のぞきみ ゆびのまからのぞきみるかお
🫤	かお くちがななめのかお こんわく むかんしん むきりょく
🫥	うちき かお てんせんのかお ないこうてき ゆううつ らくたん
🫦	くち くちびるをかんでいるくち くやしさ ゆうわく
🫧	あぶく あわ しゃぼんだま すいちゅう せっけん
🫨	かお しょっく しんどう じしん ふるえている ふるえているかお
🫰	おやゆびとひとさしゆびをくろす て ゆび ゆびをくろす
🫱	て ほうこう みぎがわ みぎにむけたて
🫲	て ひだりがわ ひだりにむけたて ほうこう
🫳	おとす した したにむけたて て
🫴	うえ うえにむけたて うける て
🫵	おまえだ て ひとをゆびさしているて ゆびさし
🫶	あい て はーとがたのて はーとぽーず らぶ
🫷	おす ことわる すとっぷ はいたっち ひだりむき ひだりむきにおしているて まて
🫸	おす ことわる すとっぷ はいたっち まて みぎむき みぎむきにおしているて