お土産	おどさん
この期に及んで	このきにおよんで
一丁字	いっちょうじ
一世一代	いっせいいちだい
一世一元	いっせいちげん
一切経	いっさいぎょう
一家言	いちかげん
一家言	いっかごん
一応	いちよう
一日の長	いちにちのちょう
一朝一夕	いっちょういちゆう
一期一会	いちきいちえ
一期一会	いっきいちえ
一汁一菜	いちじるいっさい
一献	いっけん
一矢を報いる	いちやをむくいる
一矢を報いる	ひとやをむくいる
一縷	いちろう
一蓮托生	いちれんたくせい
一親等	いちしんとう
一言一句	いちげんいっく
一言半句	ひとことはんく
一言居士	いちごんこじ
一隅	ひとすみ
七光り	しちひかり
七味とうがらし	ななみとうがらし
七堂伽藍	ななどうがらん
七変化	ななへんげ
七福神	ななふくじん
七草	しちくさ
万事	まんじ
万事休す	まんじきゅうす
万全	まんぜん
万力	ばんりき
万年青	まんねんあお
万感	まんかん
万有引力	まんゆういんりょく
万灯会	まんとうえ
万端	まんたん
万策	まんさく
万華鏡	ばんかきょう
万障	まんしょう
万難	まんなん
三つ巴	みっつどもえ
三三九度	さんさんきゅうど
三下り半	さんぎょうはん
三位一体	さんいいったい
三拝九拝	さんぱいくはい
三昧	さんみ
三番叟	さんばんそう
三社祭	さんしゃまつり
三種の神器	さんしゅのしんき
三途の川	さんとのかわ
上意下達	じょういげたつ
上意下達	じょういげだつ
下落	からく
下血	かけつ
不世出	ふせしゅつ
不審火	ふしんか
不祝儀	ふしゅうぎ
世帯数	しょたいすう
世迷い言	よまよいごと
中力粉	ちゅうりょくこ
九分九厘	きゅうぶきゅうりん
九品仏	くひんぶつ
九寸五分	きゅうすんごぶ
九尺二間	きゅうしゃくにけん
乱舞	らんまい
二十四孝	にじゅうよんこう
二十四節気	にじゅうよんせっき
二者択一	にしゃたくいち
五月晴	ごがつばれ
五月晴れ	ごがつばれ
五月雨	ごがつあめ
些細	しさい
交通の便	こうつうのびん
人事不省	じんじふしょう
人身御供	じんしんごきょう
人身御供	じんしんごくう
仁術	にんじゅつ
伊達	いたち
伏線	ふせん
会得	かいとく
会釈	かいしゃく
伝馬船	でんません
似而非	にせ
似非	じひ
似非	にせ
体よく	たいよく
体育	たいく
体育館	たいくかん
余力	よりき
作動	さくどう
作務衣	さくむい
作務衣	さむい
作風	さふう
侍女	たいじょ
供奉	くほう
供物	きょうぶつ
供物	くぶつ
侠客	きょうきゃく
修羅場	しゅうらば
修行	しゅうぎょう
健啖家	けんえんか
健気	けんき
傍目八目	はためはちもく
傍輩	ほうはい
傍輩	ぼうはい
傾城	けいじょう
元凶	がんきょう
元帥	げんし
先達	さきだち
克己心	かっこしん
入国	にゅうごく
入魂式	じっこんしき
全員	ぜいいん
公取委	こうしゅい
六歌仙	ろくかせん
内奥	ないおく
内省	ないしょう
内訳	ないわけ
円滑	えんこつ
冤罪	めんざい
冥利	めいり
冶金	ちきん
凄絶	そうぜつ
凋落	しゅうらく
凝結	ぎけつ
凡例	ぼんれい
出入国	しゅつにゅうごく
出初め式	でそめしき
出国	しゅつごく
出汁	でじる
出色	でいろ
分銅	ぶんどう
初陣	しょじん
初陣	はつじん
利幅	りふく
前半	ぜんぱん
前場	まえば
前栽	ぜんさい
割愛	わりあい
労咳	ろうぜき
化身	かしん
十人十色	じゅうにんじっしょく
千万無量	せんばんむりょう
千変万化	せんべんまんか
千変万化	せんぺんまんげ
千字文	せんじぶん
千客万来	せんきゃくまんらい
千手観音	せんてかんのん
千石船	せんせきせん
千社札	せんしゃふだ
千言万語	せんげんまんご
千載一遇	せんさいいちぐう
半死半生	はんしはんせい
原因	げいいん
原板	げんぱん
原版	げんばん
参内	さんない
参詣	さんし
反古	はんこ
反故	はんこ
反駁	はんぱく
収斂	しゅうけん
口伝	こうでん
口吻	くちづけ
古文書	こぶんしょ
古文書	こぶんしょ
句読点	くどくてん
叱咤	しったく
合印	ごういん
合祀	ごうき
合算	ごうさん
同行二人	どうこうににん
吹聴	すいちょう
吹聴	ふうちょう
呂律	ろりつ
呵責	かせき
問答	もんとう
喧伝	せんでん
喪中	そうちゅう
嗅覚	しゅうかく
嗚咽	めいいん
嘖嘖	しゃくしゃく
嘖嘖	せきせき
四分五裂	しぶごれつ
四分六	よんぶろく
四十八手	よんじゅうはって
四半世紀	よんはんせいき
四君子	よんくんし
四天王	してんおう
四百四病	よんひゃくよんびょう
回向	かいこう
団塊	だんこん
困憊	こんばい
困憊	こんび
固唾	こすい
固唾	こだ
固陋	こへい
地の利	じのり
地価	じか
地力	じりょく
均一	きんいち
均衡	きんしょう
執拗	しゅうよう
塑像	さくぞう
境内	きょうない
境内	けいない
増悪	ぞうお
壊死	かいし
壟断	りゅうだん
声色	こえいろ
声高	こえだか
外宮	がいくう
外郎	げろう
大仰	たいぎょう
大地	たいち
大寒	たいかん
大手を振る	おおてをふる
大時代	だいじだい
大漁	だいりょう
大規模	おおきぼ
天晴	てんばれ
太股	ふとまた
奇しくも	きしくも
奢侈	しゃた
女丈夫	おんなじょうふ
女丈夫	おんなじょうぶ
女人禁制	じょじんきんせい
女人禁制	じょじんきんせい
女犯	にょはん
好事家	こうじか
好悪	こうあく
如実	じょじつ
委嘱	いぞく
婉曲	わんきょく
嫌悪	けんあく
嫡出子	てきしゅつし
嫡男	てきだん
嫡男	てきなん
子福者	こぶくもの
安来節	やすきぶし
完遂	かんつい
宗主国	しゅうしゅこく
定石	ていせき
宝物殿	ほうぶつでん
実生	じっしょう
実生	みせい
宮司	きゅうし
宰相	さいそう
寄席	よせき
寛恕	かんにょ
寝汗	しんかん
寸毫	すんもう
対句	たいく
小兵	こへい
小冊子	しょうざっし
小悪魔	しょうあくま
小田原評定	おだわらひょうてい
小豆	こまめ
居住	いじゅう
屋台骨	やたいこつ
屋台骨	やだいぼね
屋外	やがい
履歴	ふくれき
履歴書	ふくれきしょ
山葵	やまあおい
屹立	こりつ
巣窟	すくつ
工面	こうめん
帆船	ほせん
希有	きう
希薄	きうす
席巻	せっかん
帰依	きい
帰巣	きす
帰巣	きすう
帰省	きしょう
幕間	まくかん
幕間	まくま
干菓子	ほしがし
平生	へいせい
平等	びょうとう
年俸	ねんぼう
幸便	こうべん
床上げ	ゆかあげ
底意	ていい
店員	ていいん
庫裏	こり
庫裡	こり
廃屋	はいや
延縄	のべなわ
建立	けんりゅう
引数	いんすう
強力粉	きょうりょくこ
強力粉	ごうりきこ
弾き初め	ひきはじめ
弾劾	だんこう
役務	やくむ
彼我	かが
後場	あとば
従容	しゅうよう
御中	ごちゅう
御利益	ごりえき
御大	おんだい
御大	ごだい
御神酒	おしんしゅ
御霊	おんれい
心神耗弱	しんしんもうじゃく
必定	ひってい
必至	ひっす
忌中	もちゅう
忌憚	いたん
忖度	すんど
忖度	ふたく
志布志	しふし
快哉	かいや
怨嗟	おんさ
怨霊	おんれい
怯懦	きょうじゅ
悪寒	あくかん
悪寒	あっかん
惜別	そべつ
愛猫	あいねこ
感興	かんこう
慫慂	じゅうゆう
慫慂	じゅうよう
慰藉	いせき
憂鬱	ゆうつ
憎悪	ぞうあく
懲役	ちょうやく
懸想	けんそう
成就	せいしゅう
成就	せいじゅ
戒名	かいめい
戸数	とすう
所望	しょぼう
扇子	せんし
手向け	てむけ
手水鉢	しゅすいばち
手水鉢	てみずばち
手術	しじゅつ
手術	しゅじつ
投網	とうあみ
折伏	おりふし
折伏	せつふく
披瀝	ひろう
捏造	ていぞう
掠奪	りょうだつ
探訪	たんほう
探訪	たんほう
控訴	くうそ
換算	かんざん
播種	ばんしゅ
改竄	かいそ
放生会	ほうしょうかい
教唆	きょうしゅん
散華	さんか
数珠	すうじゅ
敷設	しきせつ
敷設	しせつ
敷設	ほせつ
文盲	ぶんもう
料簡	りょうかん
斟酌	かんしゃく
斟酌	じんしゃく
断食	だんしょく
斯界	きかい
斯道	きどう
新手	しんしゅ
新手	しんしゅ
旗幟	きしょく
既出	がいしゅつ
既視感	がいしかん
日歩	にっぽ
早業	そうぎょう
易化	えきか
春日局	かすがきょく
普請	ぶしん
暖簾	だんれん
暫時	ぜんじ
暴露	ぼうろ
更迭	こうそう
更迭	さらそう
曹洞宗	そうどうしゅう
最期	さいき
月極	げっきょく
有り体	ありたい
有体	ありたい
有為転変	ゆういてんぺん
有象無象	ゆうしょうむしょう
服役	ふくやく
木偶	きぐう
木道	ぼくどう
木陰	きかげ
未曾有	みそゆう
未曾有	みぞゆう
末期の水	まっきのみず
末裔	まっしょう
杜撰	とせん
果敢無い	かかんない
枝葉末節	えだはまっせつ
柔和	じゅうわ
校倉	こうそう
根性	こんせい
格子	かくし
棋士	ぎし
森羅万象	しんらまんしょう
業火	ぎょうか
極上	きょくじょう
極右	ごくう
極彩色	きょくさいしょく
極彩色	ごくさいしょく
権化	けんか
権現	けんげん
権高	けんこう
権高	ごんだか
樹木	じゅぼく
欣求	きんきゅう
歩合	ふごう
歩留まり	ふどまり
歩留まり	ほどまり
死出	しいで
死出	しにで
殺生	さっしょう
殿上人	でんじょうびと
気障	きしょう
氷雨	こおりあめ
永字八法	えいじはちほう
汎用	ぼんよう
法会	ほうかい
法度	ほっと
法被	ほうひ
泥酔	どろよい
泰山木	たいざんぼく
泰西	たいさい
流布	りゅうふ
浅学	あさがく
浚渫	しゅんちょう
海人	かいじょ
海原	かいげん
混淆	こんごう
清清しい	せいせいしい
温州みかん	おんしゅうみかん
渾身	ぐんしん
満帆	まんぽ
満面	まんべん
漸次	ざんじ
灰燼	はいじん
無縁仏	むえんぶつ
無造作	むぞうさく
無類	ぶるい
煩悩	はんのう
煮沸	にふつ
熱電対	ねつでんたい
物見遊山	ものみゆうざん
独擅場	どくだんじょう
独擅場	どくだんば
猛者	もうじゃ
猪首	いのくび
玄人	げんじん
玉石混交	ぎょくせきこんごう
現役	げんやく
琴線	ことせん
甘酒	あまさけ
生兵法	なまへいほう
生粋	なまいき
甲高い	こうだかい
画する	がする
画竜点睛	がりゅうてんせい
画策	がさく
疑り深い	うたがりぶかい
疾病	しつびょう
発作	はっさく
発起人	はっきにん
白焼き	しろやき
白髪三千丈	しらがさんぜんじょう
盤石	ばんせき
目の当たり	めのあたり
目端	もくたん
直弟子	ちょくでし
直火	ちょくび
直火	ちょっか
相伴	そうばん
相好	そうこう
真摯	しんげき
眷属	かんぞく
眷族	かんぞく
着尺	きしゃく
矢面	やめん
矮小	いしょう
石部金吉	いしべかなきち
石部金吉	いしべかねきち
石部金吉	いしべかねよし
砂利	さり
破綻	はじょう
破綻	はてい
碩学	けんがく
示唆	ししゅん
礼賛	れいさん
祝言	しゅくげん
祝詞	しゅくじ
神器	じんき
祥月命日	しょうがつめいにち
祥月命日	しょうげつめいにち
禁忌	きんい
福音	ふくおん
稠密	しゅうみつ
種々	しゅしゅ
種種	しゅしゅ
窓外	まどがい
端境期	たんきょうき
端役	はしやく
箴言	かんげん
築山	ちくざん
米酢	こめす
粗利	そり
粗利	そりなり
粗忽	そそう
精霊流し	せいれいながし
糸瓜	いとうり
約定	やくてい
紅玉	あかだま
納屋	のうや
納戸	のうど
紐帯	きゅうたい
素封家	そふうか
素封家	そふうけ
素面	すがお
素麺	すめん
細雪	ほそゆき
絢爛	じゅんらん
給湯	きゅうゆ
統帥	とうし
統率	とうりつ
絶佳	ぜっけい
総帥	そうし
総花	そうか
緑青	りょくせい
緩衝地帯	かんこうちたい
縊死	えきし
罵詈雑言	ばりざつげん
罷業	のうぎょう
美人局	びじんきょく
義捐金	ぎそんきん
老婆心	ろうばごころ
老若男女	ろうじゃくだんじょ
胡散	こさん
脆弱	きじゃく
脆弱性	きじゃくせい
脊椎	せきずい
脚立	きゃくりつ
膠着	びゅうちゃく
臓物	ぞうぶつ
自縄自縛	じなわじしばり
般若心経	はんにゃしんきょう
色悪	いろわる
色悪	しきあく
苦役	くやく
茨城	いばらぎ
茨城県	いばらぎけん
荘厳	そうげん
荘重	そうじゅう
荷役	にえき
蒐集	きしゅう
薄力粉	はくりょくこ
藉口	せきこう
虚仮	きょか
虚無僧	きょむそう
行者	ぎょうしゃ
行脚	ぎょうきゃく
衣鉢	いはち
装丁	そうちょう
西方浄土	せいほうじょうど
覚書	かくしょ
親炙	しんきゅう
親身	おやみ
解像度	かいしょうど
解像度	げぞうど
解毒	かいどく
解熱	かいねつ
解脱	かいだつ
解題	げだい
言語道断	げんごどうだん
言霊	げんれい
訃報	とほう
訃報	けいほう
訪日	ほうじつ
詐取	さくしゅ
詳細	ようさい
誤謬	ごびょう
譬喩	けいゆ
譴責	いせき
贈賄	ぞうゆう
贖罪	とくざい
赤銅	せきどう
踏襲	ふしゅう
身重	しんちょう
車座	しゃざ
軽業	けいぎょう
軽率	けいりつ
辟易	へきへき
述懐	じっかい
追証	ついしょう
逝去	いきょ
造詣	ぞうし
進捗	しんしょう
進捗	しんぽ
進物	しんぶつ
遂行	ついこう
遊山	ゆうざん
遊水地	ゆうすいいけ
遊興費	ゆうこうひ
遊説	ゆうせつ
遊説	ゆうぜつ
過不足	かぶそく
過渡	かど
過渡期	かどき
道祖神	どうそしん
遠因	とおいん
遡行	さくこう
遡行	さっこう
適宜	てきせん
遵奉	そんぽう
遵守	そんしゅ
邁進	まんしん
還俗	かんぞく
重複	おもふく
野点	のてん
量目	りょうもく
金字塔	こんじとう
釣果	つりか
鈍色	どんしょく
長押	ながおし
長閑	ちょうかん
門戸	もんと
門扉	もんとびら
阿漕	あそう
降灰	こうばい
陶冶	とうじ
陶冶	とうち
随一	ずいいつ
隘路	いつろ
隘路	えきろ
隠匿	おんとく
雑兵	ぞうへい
雑木	ざっき
雰囲気	ふいんき
順風満帆	じゅんぷうまんぽ
頒布	ふんぷ
頒布	ぶんぷ
頭寒足熱	とうかんそくねつ
颯爽	ふうそう
首相	しゅそう
香具師	かぐし
香華	こうか
馴致	くんち
骨粗鬆症	こつそそうしょう
鹿毛	しかげ
黄熱病	こうねつびょう
黎明期	そうめいき
黙示録	もくじろく
武井咲	たけいさき
乙武洋匡	おとたけひろまさ
白布温泉	しらふおんせん
やむを得ない	やむおえない
押印	おしいん
重版出来	じゅうはんでき
コロナ禍	ころなうず
東海大相模	とうかいおおずもう
青山倫子	あおやまともこ
東浩紀	あずまひろのり
篤見唯子	あつみゆいこ
伊丹幸雄	いたみゆきお
おおた慶文	おおたよしふみ
緒方剛志	おがたたけし
荻上直子	おぎうえなおこ
尾上縫	おのえぬい
貴城けい	きじょうけい
木津千里	きずせんり
北村岳子	きたむらたけこ
木津千里	きづせんり
絹川愛	きぬかわあい
國重友美	くにしげゆみ
駒都えーじ	こまとえーじ
小室正幸	こむろまさゆき
小山卓治	こやまたくじ
桜井裕美	さくらいひろみ
澤田鎌作	さわだかまさく
渋谷秀樹	しぶやひでき
島津亜矢	しまつあや
千羽由利子	せんばゆりこ
高坂昌信	たかさかまさのぶ
谷澤恵里香	たにざわえりか
仲谷昇	なかたにのぼる
新垣勉	にいがきつとむ
福留功男	ふくとめいさお
藤田元司	ふじたもとじ
増谷キートン	ますたにきーとん
萌木原ふみたけ	もえぎはらふみたけ
矢沢心	やざわこころ
李克強	りかつきょう
赤烏	あかからす
伊都国	いとくに
歌月十夜	うたつきじゅうや
馬部	うまぶ
おお牧場はみどり	おおぼくじょうはみどり
鬼玉	おにだま
面研	おもけん
柏原市	かしわばらし
数独	かずどく
木曽路	きそろ
北漢	きたかん
木ネジ	きねじ
金地金	きんじきん
傀儡女	くぐつおんな
コメ兵	こめへい
際コーポレーション	さいこーぽれーしょん
治部坂	じべざか
戦乙女	せんおとめ
双日	そうび
治工具	ちこうぐ
地の文	ちのぶん
妻籠宿	つまごやど
鉄チン	てつちん
電気力線	でんきりょくせん
唐長	とうちょう
特打	とくだ
トラ技	とらわざ
話王	はなしおう
百年恋歌	ひゃくねんれんか
封神演義	ふうしんえんぎ
筆界特定制度	ふでかいとくていせいど
ブロック塀	ぶろっくへい
変化の杖	へんかのつえ
前原市	まえはらし
楽シーサー	らくしーさー
楽天市場	らくてんしじょう
楽天市場支店	らくてんしじょうしてん
逆日歩	ぎゃくにっぽ
逆日歩	さかにっぽ
逆日歩	さかにっほ
乱高下	らんこうか
宙組	ちゅうぐみ
本八幡	ほんはちまん
出音	でおと
琴電	きんでん